,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,250-299,-1847円,155分,98.4%,26704件
1,300-349,-1624円,155分,98.6%,8083件
2,350-399,-1100円,153分,99%,4303件
3,400-449,-1052円,151分,99.1%,2937件
4,450-499,-720円,148分,99.4%,2450件
5,500-549,-862円,147分,99.2%,2057件
6,550-599,-687円,146分,99.4%,1971件
7,600-649,-432円,142分,99.6%,1884件
8,650-699,-462円,142分,99.6%,1892件
9,700-749,-89円,138分,99.9%,1818件
10,750-799,-219円,136分,99.8%,1853件
11,800-849,-83円,134分,99.9%,1804件
12,850-899,285円,133分,100.3%,1825件
13,900-949,303円,130分,100.3%,1647件
14,950-999,581円,126分,100.6%,1906件
15,1000-1049,834円,124分,100.9%,1946件
16,1050-1099,1236円,122分,101.4%,1830件
17,1100-1149,1494円,120分,101.7%,1803件
18,1150-1199,1429円,120分,101.6%,1695件
19,1200-1249,1102円,117分,101.3%,1703件
20,1250-1299,1586円,113分,101.9%,1586件
21,1300-1349,1969円,109分,102.4%,1543件
22,1350-1399,2255円,109分,102.8%,1447件
23,1400-1449,1908円,105分,102.4%,1449件
24,1450-1499,2644円,101分,103.5%,1460件
25,1500-1549,2370円,100分,103.2%,1445件
26,1550-1599,2563円,96分,103.5%,1348件
27,1600-1649,2695円,95分,103.8%,1284件
28,1650-1699,3219円,93分,104.6%,1324件
29,1700-1749,3502円,88分,105.3%,1254件
30,1750-1799,3593円,86分,105.5%,1272件
31,1800-1849,3833円,84分,106.1%,1245件
32,1850-1899,3811円,82分,106.2%,1188件
33,1900-1949,4420円,78分,107.6%,1139件
34,1950-1999,4460円,73分,108.1%,1180件
35,2000-2049,4289円,69分,108.2%,1112件
36,2050-2099,4341円,65分,108.9%,1071件
37,2100-2149,5044円,62分,110.8%,1049件
38,2150-2199,5213円,59分,111.7%,1005件
39,2200-2249,5166円,56分,112.3%,977件
40,2250-2299,5396円,53分,113.7%,988件
41,2300-2349,5735円,49分,115.6%,967件
42,2350-2399,5886円,46分,117%,940件
43,2400-2449,6076円,45分,118.1%,877件
44,2450-2499,6796円,42分,121.3%,873件
45,2500-2549,6888円,42分,122.1%,852件
46,2550-2599,7268円,40分,124%,810件
47,2600-2649,7815円,38分,127.6%,847件
48,2650-2699,8375円,36分,130.8%,779件
49,2700-2749,8337円,36分,130.8%,655件
