,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,3368円,143分,103.1%,928件
1,600-649,2740円,143分,102.5%,1228件
2,650-699,3100円,140分,103%,1115件
3,700-749,3569円,137分,103.5%,998件
4,750-799,3885円,134分,103.9%,886件
5,800-849,3671円,135分,103.6%,787件
6,850-899,3615円,132分,103.6%,768件
7,900-949,4019円,129分,104.2%,731件
8,950-999,3464円,131分,103.5%,639件
9,1000-1049,4603円,125分,104.9%,616件
10,1050-1099,4364円,122分,104.8%,531件
11,1100-1149,4745円,122分,105.2%,538件
12,1150-1199,4789円,117分,105.5%,980件
13,1200-1249,4829円,115分,105.6%,533件
14,1250-1299,5393円,111分,106.5%,572件
15,1300-1349,5307円,111分,106.4%,526件
16,1350-1399,5679円,107分,107.1%,448件
17,1400-1449,4828円,106分,106.1%,444件
18,1450-1499,5817円,102分,107.6%,445件
19,1500-1549,5438円,101分,107.2%,399件
20,1550-1599,5996円,97分,108.3%,368件
21,1600-1649,6548円,94分,109.3%,352件
22,1650-1699,5949円,92分,108.7%,376件
23,1700-1749,6960円,88分,110.5%,411件
24,1750-1799,6796円,84分,110.8%,373件
25,1800-1849,6064円,85分,109.5%,358件
26,1850-1899,7350円,80分,112.3%,327件
27,1900-1949,7600円,77分,113.1%,312件
28,1950-1999,6944円,75分,112.4%,285件
29,2000-2049,8601円,71分,116.1%,332件
30,2050-2099,8473円,69分,116.4%,292件
31,2100-2149,7994円,63分,116.9%,295件
32,2150-2199,8174円,58分,118.8%,256件
33,2200-2249,8201円,54分,120.2%,272件
34,2250-2299,9211円,48分,125.8%,274件
35,2300-2349,8622円,46分,125.1%,254件
36,2350-2399,8681円,43分,127.2%,279件
37,2400-2449,8926円,42分,128.6%,252件
38,2450-2499,8720円,42分,127.8%,239件
39,2500-2549,9907円,38分,134.4%,253件
40,2550-2599,9729円,38分,134.4%,215件
41,2600-2649,10168円,36分,137.7%,248件
42,2650-2699,10616円,35分,140.6%,211件
43,2700-2749,10897円,33分,143.6%,201件
44,2750-2799,11728円,32分,149.5%,192件
45,2800-2849,12150円,28分,157.2%,215件
46,2850-2899,12402円,25分,165.2%,170件
47,2900-2949,13879円,23分,179.7%,156件
