,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,-551円,149分,99.5%,149件
1,450-499,-1803円,150分,98.4%,183件
2,500-549,-1499円,150分,98.7%,224件
3,550-599,-674円,140分,99.4%,295件
4,600-649,-2235円,144分,97.9%,332件
5,650-699,-102円,139分,99.9%,357件
6,700-749,-284円,138分,99.7%,404件
7,750-799,-85円,136分,99.9%,455件
8,800-849,-316円,136分,99.7%,487件
9,850-899,136円,132分,100.1%,469件
10,900-949,313円,130分,100.3%,523件
11,950-999,-328円,130分,99.7%,542件
12,1000-1049,-95円,126分,99.9%,596件
13,1050-1099,954円,120分,101.1%,612件
14,1100-1149,847円,124分,100.9%,603件
15,1150-1199,906円,118分,101%,612件
16,1200-1249,1675円,113分,102%,583件
17,1250-1299,1185円,114分,101.4%,528件
18,1300-1349,1229円,111分,101.5%,554件
19,1350-1399,2152円,107分,102.7%,518件
20,1400-1449,1543円,105分,102%,480件
21,1450-1499,1843円,103分,102.4%,488件
22,1500-1549,2247円,101分,103%,486件
23,1550-1599,3010円,96分,104.2%,458件
24,1600-1649,2509円,94分,103.6%,460件
25,1650-1699,2971円,92分,104.3%,449件
26,1700-1749,2580円,87分,103.9%,391件
27,1750-1799,3492円,86分,105.4%,358件
28,1800-1849,3478円,83分,105.6%,379件
29,1850-1899,4322円,79分,107.3%,323件
30,1900-1949,3493円,76分,106.1%,307件
31,1950-1999,5172円,73分,109.5%,307件
32,2000-2049,3767円,70分,107.2%,298件
33,2050-2099,4138円,67分,108.2%,301件
34,2100-2149,4752円,62分,110.3%,289件
35,2150-2199,4900円,60分,110.9%,271件
36,2200-2249,4940円,57分,111.6%,270件
37,2250-2299,5472円,52分,114.2%,236件
38,2300-2349,4558円,52分,111.7%,245件
39,2350-2399,5669円,48分,115.9%,206件
40,2400-2449,5804円,46分,116.9%,237件
41,2450-2499,6986円,42分,122.1%,222件
42,2500-2549,7029円,41分,122.7%,216件
43,2550-2599,7424円,41分,124.4%,255件
44,2600-2649,7589円,39分,125.7%,214件
45,2650-2699,8430円,36分,131.1%,189件
46,2700-2749,9381円,34分,136.8%,190件
47,2750-2799,9928円,32分,140.8%,178件
48,2800-2849,10901円,29分,150.3%,175件
49,2850-2899,11644円,25分,161%,149件
50,2900-2949,13150円,23分,176.2%,137件
