,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,1657円,139分,101.6%,42件
1,750-799,3355円,137分,103.3%,56件
2,800-849,2560円,130分,102.6%,82件
3,850-899,3827円,134分,103.8%,75件
4,900-949,2443円,127分,102.6%,83件
5,950-999,3138円,134分,103.1%,91件
6,1000-1049,2260円,127分,102.4%,111件
7,1050-1099,2673円,124分,102.9%,99件
8,1100-1149,3567円,121分,103.9%,119件
9,1150-1199,4368円,115分,105.1%,145件
10,1200-1249,3143円,118分,103.6%,128件
11,1250-1299,4084円,117分,104.7%,160件
12,1300-1349,3991円,115分,104.6%,148件
13,1350-1399,3948円,107分,104.9%,163件
14,1400-1449,3382円,109分,104.1%,193件
15,1450-1499,4253円,105分,105.4%,180件
16,1500-1549,4495円,102分,105.9%,150件
17,1550-1599,3885円,103分,105%,158件
18,1600-1649,4741円,95分,106.6%,157件
19,1650-1699,4670円,95分,106.6%,178件
20,1700-1749,6308円,87分,109.7%,181件
21,1750-1799,3618円,88分,105.5%,156件
22,1800-1849,6914円,81分,111.4%,164件
23,1850-1899,6348円,80分,110.6%,156件
24,1900-1949,5569円,77分,109.7%,131件
25,1950-1999,5330円,73分,109.7%,137件
26,2000-2049,6027円,67分,112%,127件
27,2050-2099,6935円,64分,114.4%,139件
28,2100-2149,6813円,63分,114.5%,102件
29,2150-2199,7784円,59分,117.6%,112件
30,2200-2249,6776円,52分,117.3%,94件
31,2250-2299,7385円,52分,118.8%,100件
32,2300-2349,6421円,48分,117.8%,96件
33,2350-2399,7180円,46分,121%,104件
34,2400-2449,6115円,49分,116.6%,94件
35,2450-2499,8091円,42分,125.7%,87件
36,2500-2549,8152円,42分,126.1%,92件
37,2550-2599,8257円,40分,127.3%,90件
38,2600-2649,8383円,40分,128.3%,85件
39,2650-2699,9584円,34分,137.2%,69件
40,2700-2749,9469円,34分,137.2%,86件
41,2750-2799,10591円,33分,143.1%,75件
42,2800-2849,11850円,28分,156%,71件
43,2850-2899,12381円,26分,164.4%,52件
44,2900-2949,13854円,23分,180.3%,63件
